# Ecoflex30, bending actuator, displacement test.
# wall=7mm, 5 chambers, chamber=[8x8x2]mm, tube=[2,2,7]mm.
# Pressure (N/mm2), Bending Angle (degrees)
0.017181,2.0101
0.017188,2.0101
0.017196,2.0101
0.017203,2.0101
0.01721,2.0101
0.017217,2.0101
0.017225,2.0101
0.017232,2.0101
0.017239,2.0101
0.017246,2.0101
0.017254,2.0101
0.017261,2.0101
0.017268,2.0101
0.017275,2.0101
0.017283,2.0101
0.01729,2.0101
0.017297,2.0101
0.017304,2.0101
0.017312,2.0101
0.017319,2.0101
0.017326,2.0101
0.017333,2.0101
0.017341,2.0101
0.017348,2.0101
0.017355,2.0101
0.017362,2.0101
0.01737,2.0101
0.017377,2.0101
0.017384,2.0101
0.017391,2.0101
0.017399,2.0101
0.017406,2.0101
0.017413,2.0101
0.01742,2.0101
0.017428,2.0101
0.017435,2.0101
0.017442,2.0101
0.017449,2.0101
0.017457,2.0101
0.017464,2.0101
0.017471,2.0101
0.017478,2.0101
0.017486,2.0101
0.017493,2.0101
0.0175,2.0101
0.017507,2.0101
0.017514,2.0101
0.017522,2.0101
0.017529,2.0101
0.017536,2.1098
0.017543,2.1098
0.017551,2.1098
0.017558,2.1098
0.017565,2.1098
0.017572,2.1098
0.01758,2.1098
0.017587,2.1098
0.017594,2.1098
0.017601,2.1098
0.017609,2.1098
0.017616,2.1098
0.017623,2.1098
0.01763,2.1098
0.017638,2.1098
0.017645,2.1098
0.017652,2.1098
0.017659,2.1098
0.017667,2.1098
0.017674,2.1098
0.017681,2.1098
0.017688,2.1098
0.017696,2.1098
0.017703,2.1098
0.01771,2.1098
0.017717,2.1098
0.017725,2.1098
0.017732,2.1098
0.017739,2.1098
0.017746,2.1098
0.017754,2.1098
0.017761,2.1098
0.017768,2.1098
0.017775,2.1098
0.017783,2.1098
0.01779,2.1098
0.017797,2.1098
0.017804,2.1098
0.017812,2.1098
0.017819,2.1098
0.017826,2.1098
0.017833,2.1098
0.017841,2.1098
0.017848,2.1098
0.017855,2.1098
0.017862,2.1098
0.01787,2.1098
0.017877,2.1098
0.017884,2.2094
0.017891,2.1098
0.017899,2.1098
0.017906,2.1098
0.017913,2.1098
0.01792,2.1098
0.017928,2.1098
0.017935,2.1098
0.017942,2.2094
0.017949,2.1098
0.017957,2.1098
0.017964,2.2094
0.017971,2.2094
0.017978,2.2094
0.017986,2.2094
0.017993,2.2094
0.018,2.2094
0.018007,2.2094
0.018014,2.2094
0.018022,2.1098
0.018029,2.2094
0.018036,2.1098
0.018043,2.1098
0.018051,2.2094
0.018058,2.2094
0.018065,2.2094
0.018072,2.2094
0.01808,2.2094
0.018087,2.2094
0.018094,2.2094
0.018101,2.2094
0.018109,2.2094
0.018116,2.2094
0.018123,2.2094
0.01813,2.2094
0.018138,2.2094
0.018145,2.2094
0.018152,2.2094
0.018159,2.2094
0.018167,2.2094
0.018174,2.2094
0.018181,2.2094
0.018188,2.2094
0.018196,2.2094
0.018203,2.2094
0.01821,2.2094
0.018217,2.2094
0.018225,2.2094
0.018232,2.2094
0.018239,2.2094
0.018246,2.2094
0.018254,2.2094
0.018261,2.2094
0.018268,2.2094
0.018275,2.2094
0.018283,2.2094
0.01829,2.2094
0.018297,2.2094
0.018304,2.2094
0.018312,2.2094
0.018319,2.2094
0.018326,2.2094
0.018333,2.2094
0.018341,2.2094
0.018348,2.2094
0.018355,2.2094
0.018362,2.2094
0.01837,2.2094
0.018377,2.2094
0.018384,2.2094
0.018391,2.2094
0.018399,2.2094
0.018406,2.2094
0.018413,2.2094
0.01842,2.2094
0.018428,2.2094
0.018435,2.2094
0.018442,2.2094
0.018449,2.2094
0.018457,2.2094
0.018464,2.2094
0.018471,2.2094
0.018478,2.2094
0.018486,2.3089
0.018493,2.2094
0.0185,2.2094
0.018507,2.3089
0.018514,2.3089
0.018522,2.3089
0.018529,2.3089
0.018536,2.2094
0.018543,2.3089
0.018551,2.3089
0.018558,2.3089
0.018565,2.3089
0.018572,2.3089
0.01858,2.3089
0.018587,2.3089
0.018594,2.3089
0.018601,2.2094
0.018609,2.3089
0.018616,2.3089
0.018623,2.3089
0.01863,2.3089
0.018638,2.3089
0.018645,2.3089
0.018652,2.3089
0.018659,2.3089
0.018667,2.3089
0.018674,2.3089
0.018681,2.3089
0.018688,2.3089
0.018696,2.3089
0.018703,2.3089
0.01871,2.3089
0.018717,2.3089
0.018725,2.3089
0.018732,2.3089
0.018739,2.3089
0.018746,2.3089
0.018754,2.3089
0.018761,2.3089
0.018768,2.3089
0.018775,2.3089
0.018783,2.3089
0.01879,2.3089
0.018797,2.3089
0.018804,2.3089
0.018812,2.3089
0.018819,2.3089
0.018826,2.3089
0.018833,2.3089
0.018841,2.3089
0.018848,2.3089
0.018855,2.3089
0.018862,2.3089
0.01887,2.3089
0.018877,2.3089
0.018884,2.3089
0.018891,2.3089
0.018899,2.3089
0.018906,2.4084
0.018913,2.4084
0.01892,2.4084
0.018928,2.4084
0.018935,2.3089
0.018942,2.4084
0.018949,2.4084
0.018957,2.4084
0.018964,2.4084
0.018971,2.4084
0.018978,2.4084
0.018986,2.4084
0.018993,2.4084
0.019,2.4084
0.019007,2.4084
0.019014,2.4084
0.019022,2.4084
0.019029,2.3089
0.019036,2.4084
0.019043,2.4084
0.019051,2.4084
0.019058,2.4084
0.019065,2.4084
0.019072,2.4084
0.01908,2.4084
0.019087,2.4084
0.019094,2.4084
0.019101,2.4084
0.019109,2.4084
0.019116,2.4084
0.019123,2.4084
0.01913,2.4084
0.019138,2.4084
0.019145,2.4084
0.019152,2.4084
0.019159,2.4084
0.019167,2.4084
0.019174,2.4084
0.019181,2.4084
0.019188,2.4084
0.019196,2.4084
0.019203,2.4084
0.01921,2.4084
0.019217,2.4084
0.019225,2.4084
0.019232,2.4084
0.019239,2.4084
0.019246,2.4084
0.019254,2.4084
0.019261,2.4084
0.019268,2.4084
0.019275,2.4084
0.019283,2.4084
0.01929,2.4084
0.019297,2.4084
0.019304,2.4084
0.019312,2.4084
0.019319,2.4084
0.019326,2.4084
0.019333,2.5079
0.019341,2.5079
0.019348,2.5079
0.019355,2.5079
0.019362,2.5079
0.01937,2.5079
0.019377,2.5079
0.019384,2.5079
0.019391,2.5079
0.019399,2.5079
0.019406,2.5079
0.019413,2.5079
0.01942,2.5079
0.019428,2.5079
0.019435,2.5079
0.019442,2.5079
0.019449,2.5079
0.019457,2.5079
0.019464,2.5079
0.019471,2.5079
0.019478,2.5079
0.019486,2.5079
0.019493,2.5079
0.0195,2.5079
0.019507,2.5079
0.019514,2.5079
0.019522,2.5079
0.019529,2.5079
0.019536,2.5079
0.019543,2.5079
0.019551,2.5079
0.019558,2.5079
0.019565,2.5079
0.019572,2.5079
0.01958,2.5079
0.019587,2.5079
0.019594,2.5079
0.019601,2.5079
0.019609,2.5079
0.019616,2.5079
0.019623,2.6073
0.01963,2.5079
0.019638,2.5079
0.019645,2.6073
0.019652,2.5079
0.019659,2.6073
0.019667,2.5079
0.019674,2.5079
0.019681,2.6073
0.019688,2.6073
0.019696,2.6073
0.019703,2.6073
0.01971,2.6073
0.019717,2.6073
0.019725,2.6073
0.019732,2.6073
0.019739,2.6073
0.019746,2.6073
0.019754,2.6073
0.019761,2.6073
0.019768,2.6073
0.019775,2.6073
0.019783,2.6073
0.01979,2.6073
0.019797,2.6073
0.019804,2.6073
0.019812,2.6073
0.019819,2.6073
0.019826,2.6073
0.019833,2.6073
0.019841,2.6073
0.019848,2.6073
0.019855,2.6073
0.019862,2.6073
0.01987,2.6073
0.019877,2.6073
0.019884,2.6073
0.019891,2.6073
0.019899,2.6073
0.019906,2.6073
0.019913,2.6073
0.01992,2.6073
0.019928,2.6073
0.019935,2.6073
0.019942,2.6073
0.019949,2.6073
0.019957,2.6073
0.019964,2.7067
0.019971,2.6073
0.019978,2.6073
0.019986,2.6073
0.019993,2.6073
0.02,2.7067
0.020007,2.7067
0.020014,2.7067
0.020022,2.7067
0.020029,2.7067
0.020036,2.7067
0.020043,2.7067
0.020051,2.7067
