# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_5 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2)
1.502,0.073807,0.01
1.508,0.070021,0.01
1.52,0.07533,0.01
1.526,0.0763,0.01
1.536,0.072291,0.01
1.542,0.073035,0.01
1.551,0.0727,0.01
1.556,0.076077,0.01
1.567,0.070727,0.01
1.578,0.072871,0.01
1.59,0.076558,0.01
1.597,0.077374,0.01
1.608,0.069726,0.01
1.619,0.075513,0.01
1.631,0.073082,0.01
1.641,0.074455,0.01
1.647,0.074039,0.01
1.656,0.073008,0.01
1.662,0.072365,0.01
1.671,0.071617,0.01
1.677,0.078242,0.01
1.686,0.071052,0.01
1.692,0.073494,0.01
1.702,0.074044,0.01
1.708,0.070767,0.01
1.718,0.074065,0.01
1.724,0.07262,0.01
1.734,0.071758,0.01
1.74,0.070821,0.01
1.75,0.073704,0.01
1.756,0.078009,0.01
1.765,0.071303,0.01
1.771,0.071153,0.01
1.781,0.076072,0.01
1.787,0.074675,0.01
1.797,0.076166,0.01
1.803,0.070812,0.01
1.812,0.071025,0.01
1.818,0.072159,0.01
1.827,0.073021,0.01
1.839,0.076485,0.01
1.845,0.073118,0.01
1.857,0.069609,0.01
1.864,0.070307,0.01
1.873,0.073167,0.01
1.88,0.072909,0.01
1.889,0.069941,0.01
1.895,0.07638,0.01
1.904,0.072004,0.01
1.91,0.071712,0.01
1.92,0.076839,0.01
1.925,0.074428,0.01
1.936,0.071857,0.01
1.947,0.071472,0.01
1.954,0.075203,0.01
1.985,0.073226,0.01
1.991,0.072653,0.01
2.002,0.073315,0.01
2.008,0.06979,0.01
2.018,0.078187,0.01
2.024,0.07083,0.01
2.035,0.071755,0.01
2.041,0.073735,0.01
2.051,0.072261,0.01
2.056,0.075921,0.01
2.068,0.069434,0.01
2.074,0.079087,0.01
2.085,0.074445,0.01
2.114,0.073823,0.01
2.119,0.071863,0.01
2.131,0.073597,0.01
2.138,0.074041,0.01
2.147,0.076652,0.01
2.153,0.075163,0.01
2.163,0.074919,0.01
2.169,0.074647,0.01
2.179,0.078891,0.01
2.185,0.072755,0.01
2.195,0.072683,0.01
2.201,0.070685,0.01
2.211,0.069706,0.01
2.241,0.071805,0.01
2.247,0.071695,0.01
2.256,0.075881,0.01
2.262,0.071382,0.01
2.271,0.071345,0.01
2.277,0.076709,0.01
2.286,0.07201,0.01
2.292,0.074296,0.01
2.302,0.073719,0.01
2.308,0.072063,0.01
2.318,0.073381,0.01
2.323,0.073486,0.01
2.334,0.072329,0.01
2.344,0.071281,0.01
2.35,0.071192,0.01
2.359,0.077756,0.01
2.366,0.072115,0.01
2.375,0.071758,0.01
2.382,0.070125,0.01
2.39,0.071159,0.01
2.401,0.075975,0.01
2.411,0.072375,0.01
2.418,0.073016,0.01
2.427,0.074739,0.01
2.434,0.070264,0.01
2.441,0.072244,0.01
2.452,0.072559,0.01
2.464,0.078064,0.01
2.474,0.071323,0.01
2.481,0.071119,0.01
2.489,0.071248,0.01
2.495,0.076877,0.01
2.504,0.071714,0.01
2.51,0.070112,0.01
2.519,0.076116,0.01
2.525,0.073208,0.01
2.535,0.072791,0.01
2.541,0.070625,0.01
2.55,0.074072,0.01
2.556,0.075894,0.01
2.566,0.070103,0.01
2.572,0.074325,0.01
2.581,0.072485,0.01
2.587,0.071373,0.01
2.598,0.073254,0.01
2.608,0.071924,0.01
2.615,0.07427,0.01
2.624,0.072427,0.01
2.636,0.071226,0.01
2.642,0.071654,0.01
2.654,0.069295,0.01
2.666,0.071173,0.01
2.676,0.073143,0.01
2.683,0.070425,0.01
2.692,0.072253,0.01
2.699,0.074321,0.01
2.707,0.07455,0.01
2.718,0.071188,0.01
2.729,0.073309,0.01
2.74,0.079393,0.01
2.752,0.069981,0.01
2.762,0.071943,0.01
2.768,0.072851,0.01
